stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
JANV1241635,41635,Francis-Hughes / Lippmann [41635] ,-73.722361,45.5798,0,0,0
MARS1241635,41635,Francis-Hughes / Lippmann [41635] ,-73.722361,45.5798,0,0,0
JANV1241636,41636,Francis-Hughes / Face Au Provigo [41636] ,-73.730155,45.586884,0,0,1
MARS1241636,41636,Francis-Hughes / Face Au Provigo [41636] ,-73.730155,45.586884,0,0,1
JANV1241637,41637,Francis-Hughes / Face Au 2555 [41637] ,-73.728288,45.587806,0,0,0
MARS1241637,41637,Francis-Hughes / Face Au 2555 [41637] ,-73.728288,45.587806,0,0,0
JANV1241638,41638,Francis-Hughes / Face Au 2555 [41638] ,-73.728416,45.587887,0,0,0
MARS1241638,41638,Francis-Hughes / Face Au 2555 [41638] ,-73.728416,45.587887,0,0,0
JANV1241639,41639,Francis-Hughes / Face Au 2655 [41639] ,-73.730139,45.589242,0,0,0
MARS1241639,41639,Francis-Hughes / Face Au 2655 [41639] ,-73.730139,45.589242,0,0,0
JANV1241640,41640,Francis-Hughes / Face Au 2655 [41640] ,-73.730049,45.589125,0,0,0
MARS1241640,41640,Francis-Hughes / Face Au 2655 [41640] ,-73.730049,45.589125,0,0,0
JANV1241641,41641,Francis-Hughes / Face Au 2750 [41641] ,-73.732649,45.588607,0,0,0
MARS1241641,41641,Francis-Hughes / Face Au 2750 [41641] ,-73.732649,45.588607,0,0,0
JANV1241642,41642,Francis-Hughes / Face Au 2750 [41642] ,-73.733111,45.58884,0,0,0
MARS1241642,41642,Francis-Hughes / Face Au 2750 [41642] ,-73.733111,45.58884,0,0,0
JANV1241643,41643,Francis-Hughes / Berlier [41643] ,-73.734283,45.590259,0,0,0
MARS1241643,41643,Francis-Hughes / Berlier [41643] ,-73.734283,45.590259,0,0,0
JANV1241644,41644,Francis-Hughes / Saint-Elzéar [41644] ,-73.737717,45.593186,0,0,0
MARS1241644,41644,Francis-Hughes / Saint-Elzéar [41644] ,-73.737717,45.593186,0,0,0
JANV1241645,41645,Francis-Hughes / Lippmann [41645] ,-73.722707,45.579917,0,0,0
MARS1241645,41645,Francis-Hughes / Lippmann [41645] ,-73.722707,45.579917,0,0,0
JANV12CP41646,41646,Francis-Hughes / Munck [41646] ,-73.724459,45.582073,0,0,0
MARS12CP41646,41646,Francis-Hughes / Munck [41646] ,-73.724459,45.582073,0,0,0
JANV12CP41647,41647,Francis-Hughes / Munck [41647] ,-73.724767,45.582144,0,0,0
MARS12CP41647,41647,Francis-Hughes / Munck [41647] ,-73.724767,45.582144,0,0,0
JANV1241648,41648,Francis-Hughes / Face Au 2250 [41648] ,-73.726388,45.583797,0,0,0
MARS1241648,41648,Francis-Hughes / Face Au 2250 [41648] ,-73.726388,45.583797,0,0,0
JANV1241649,41649,Francis-Hughes / Face Au 2250 [41649] ,-73.726117,45.58332,0,1,1
MARS1241649,41649,Francis-Hughes / Face Au 2250 [41649] ,-73.726117,45.58332,0,1,1
JANV1241650,41650,Francis-Hughes / Cunard [41650] ,-73.72752,45.584793,0,0,0
MARS1241650,41650,Francis-Hughes / Cunard [41650] ,-73.72752,45.584793,0,0,0
JANV1241651,41651,Francis-Hughes / Cunard [41651] ,-73.727879,45.584873,0,0,0
MARS1241651,41651,Francis-Hughes / Cunard [41651] ,-73.727879,45.584873,0,0,0
JANV1241652,41652,Francis-Hughes / Face Au Provigo [41652] ,-73.729629,45.586616,0,0,0
MARS1241652,41652,Francis-Hughes / Face Au Provigo [41652] ,-73.729629,45.586616,0,0,0
JANV1241655,41655,Marc-Aurèle-Fortin / Face à L'école Curé-Antoine-Labelle [41655] ,-73.784079,45.606388,0,0,1
MARS1241655,41655,Marc-Aurèle-Fortin / Face à L'école Curé-Antoine-Labelle [41655] ,-73.784079,45.606388,0,0,1
JANV1241656,41656,Marc-Aurèle-Fortin / Honoré-Mercier [41656] ,-73.782734,45.606581,0,0,0
MARS1241656,41656,Marc-Aurèle-Fortin / Honoré-Mercier [41656] ,-73.782734,45.606581,0,0,0
JANV1241658,41658,Marc-Aurèle-Fortin / Des Patriotes [41658] ,-73.780249,45.60692,0,0,0
MARS1241658,41658,Marc-Aurèle-Fortin / Des Patriotes [41658] ,-73.780249,45.60692,0,0,0
JANV1241660,41660,Marc-Aurèle-Fortin / Honoré-Mercier [41660] ,-73.782568,45.606779,0,0,0
MARS1241660,41660,Marc-Aurèle-Fortin / Honoré-Mercier [41660] ,-73.782568,45.606779,0,0,0
JANV1241662,41662,Marc-Aurèle-Fortin / Du Plateau-Ouimet [41662] ,-73.787283,45.606119,0,0,0
MARS1241662,41662,Marc-Aurèle-Fortin / Du Plateau-Ouimet [41662] ,-73.787283,45.606119,0,0,0
JANV12CP41663,41663,Marc-Aurèle-Fortin / Curé-Labelle [41663] ,-73.789421,45.605646,0,0,0
